Sample,Series,Stage,Country,Section,Depth (m),Age (Ma),Osi,References
NS-169,Triassic,Induan,China,Niushan,26.455,251.38,0.53,Liu and Selby (2021)
NS-159,Triassic,Induan,China,Niushan,25.825,251.48,0.82,Liu and Selby (2021)
NS-151,Triassic,Induan,China,Niushan,25.335,251.55,0.91,Liu and Selby (2021)
NS-144,Triassic,Induan,China,Niushan,24.785,251.63,0.9,Liu and Selby (2021)
NS-131,Triassic,Induan,China,Niushan,23.99,251.75,1.14,Liu and Selby (2021)
NS-119,Triassic,Induan,China,Niushan,22.895,251.92,0.89,Liu and Selby (2021)
NS-111,Permian,Changhsingian,China,Niushan,22.105,252.03,0.3,Liu and Selby (2021)
NS-109,Permian,Changhsingian,China,Niushan,21.895,252.07,0.34,Liu and Selby (2021)
NS-108,Permian,Changhsingian,China,Niushan,21.775,252.08,0.71,Liu and Selby (2021)
NT-106,Permian,Changhsingian,China,Niushan,21.575,252.11,0.61,Liu and Selby (2021)
NS-105,Permian,Changhsingian,China,Niushan,21.455,252.13,0.64,Liu and Selby (2021)
NS-104,Permian,Changhsingian,China,Niushan,21.375,252.14,0.65,Liu and Selby (2021)
NS-95,Permian,Changhsingian,China,Niushan,20.415,252.29,0.63,Liu and Selby (2021)
NS-88,Permian,Changhsingian,China,Niushan,19.675,252.4,0.61,Liu and Selby (2021)
NS-87,Permian,Changhsingian,China,Niushan,19.6,252.41,0.52,Liu and Selby (2021)
NS-46,Permian,Changhsingian,China,Niushan,16.365,252.89,0.43,Liu and Selby (2021)
NS-34,Permian,Changhsingian,China,Niushan,15.76,252.98,0.7,Liu and Selby (2021)
NS-01,Permian,Changhsingian,China,Niushan,14.25,253.21,0.97,Liu and Selby (2021)
NS-03,Permian,Changhsingian,China,Niushan,13.3,253.35,0.61,Liu and Selby (2021)
NS-06,Permian,Changhsingian,China,Niushan,11.8,253.57,1.29,Liu and Selby (2021)
LT-17,Permian,Wuchiapingian,China,Niushan,4.5,254.66,1.01,Liu and Selby (2021)
,,,China,Meishan,-7.23,252.28,0.57,Liu et al. (2020)
,,,China,Meishan,-5.66,252.2,0.33,Liu et al. (2020)
,,,China,Meishan,-4.09,252.12,0.47,Liu et al. (2020)
,,,China,Meishan,-3.33,252.08,0.32,Liu et al. (2020)
,,,China,Meishan,-2.57,252.04,0.56,Liu et al. (2020)
,,,China,Meishan,-1.55,251.98,0.53,Liu et al. (2020)
,,,China,Meishan,-1.21,251.96,0.21,Liu et al. (2020)
,,,China,Meishan,-0.9,251.95,0.65,Liu et al. (2020)
,,,China,Meishan,-0.79,251.94,0.72,Liu et al. (2020)
,,,China,Meishan,-0.61,251.93,0.58,Liu et al. (2020)
,,,China,Meishan,-0.52,251.93,0.64,Liu et al. (2020)
,,,China,Meishan,-0.4,251.92,0.63,Liu et al. (2020)
,,,China,Meishan,-0.3,251.92,0.21,Liu et al. (2020)
,,,China,Meishan,-0.2,251.91,0.54,Liu et al. (2020)
,,,China,Meishan,-0.1,251.91,0.18,Liu et al. (2020)
,,,China,Meishan,-0.04,251.9,0.53,Liu et al. (2020)
,,,China,Meishan,-0.01,251.9,0.52,Liu et al. (2020)
,,,China,Meishan,0.01,251.9,0.64,Liu et al. (2020)
,,,China,Meishan,0.21,251.86,0.7,Liu et al. (2020)
,,,China,Meishan,0.96,251.73,0.79,Liu et al. (2020)
,,,China,Meishan,1.54,251.63,1.25,Liu et al. (2020)
,,,China,Meishan,2.06,251.54,0.82,Liu et al. (2020)
,,,China,Meishan,2.82,251.4,0.97,Liu et al. (2020)
,,,China,Meishan,3.54,251.28,0.3,Liu et al. (2020)
,,,China,Meishan,4.25,251.15,0.72,Liu et al. (2020)
,,,China,Lianyuan,12.7,253.3,0.5,Liu et al. (2019)
,,,China,Lianyuan,11.2,253.48,0.48,Liu et al. (2019)
,,,China,Lianyuan,10.8,253.53,0.5,Liu et al. (2019)
,,,China,Lianyuan,10.2,253.6,0.25,Liu et al. (2019)
,,,China,Lianyuan,9.4,253.69,0.26,Liu et al. (2019)
,,,China,Lianyuan,9.3,253.71,0.41,Liu et al. (2019)
,,,China,Lianyuan,9,253.74,0.17,Liu et al. (2019)
,,,China,Lianyuan,8.4,253.81,0.28,Liu et al. (2019)
,,,China,Lianyuan,7.6,253.91,0.38,Liu et al. (2019)
,,,China,Lianyuan,7,253.98,0.49,Liu et al. (2019)
,,,China,Lianyuan,6,254.1,0.41,Liu et al. (2019)
,,,China,Lianyuan,5.6,254.14,0.41,Liu et al. (2019)
,,,China,Lianyuan,5.1,254.2,0.35,Liu et al. (2019)
,,,China,Lianyuan,5,254.22,0.32,Liu et al. (2019)
,,,China,Lianyuan,4.8,254.24,0.31,Liu et al. (2019)
,,,China,Lianyuan,4.6,254.26,0.25,Liu et al. (2019)
,,,China,Lianyuan,4.4,254.29,0.22,Liu et al. (2019)
,,,China,Lianyuan,4.2,254.31,0.2,Liu et al. (2019)
,,,China,Lianyuan,4,254.33,0.67,Liu et al. (2019)
,,,China,Lianyuan,3.8,254.36,0.95,Liu et al. (2019)
,,,China,Lianyuan,3.2,254.43,1.06,Liu et al. (2019)
,,,China,Lianyuan,2.4,254.52,1.17,Liu et al. (2019)
,,,China,Lianyuan,1.7,254.61,1.18,Liu et al. (2019)
,,,China,Lianyuan,1,254.69,1.21,Liu et al. (2019)
,,,China,Meishan,-37.29,253.48,0.59,Liu et al. (2019)
,,,China,Meishan,-39.22,253.55,0.62,Liu et al. (2019)
,,,China,Meishan,-41.41,253.6,0.56,Liu et al. (2019)
,,,China,Meishan,-42.39,253.73,0.42,Liu et al. (2019)
,,,China,Meishan,-43.1,253.82,0.76,Liu et al. (2019)
,,,China,Meishan,-44.94,254.05,0.61,Liu et al. (2019)
,,,China,Meishan,-46.19,254.21,0.44,Liu et al. (2019)
,,,China,Meishan,-46.41,254.24,0.57,Liu et al. (2019)
,,,China,Meishan,-46.95,254.31,0.17,Liu et al. (2019)
,,,China,Meishan,-47.24,254.35,0.61,Liu et al. (2019)
,,,China,Meishan,-47.97,254.44,0.54,Liu et al. (2019)
,,,China,Meishan,-48.8,254.55,0.54,Liu et al. (2019)
,,,China,Meishan,-49.9,254.69,0.49,Liu et al. (2019)
,,,China,Meishan,-50.65,254.78,0.52,Liu et al. (2019)
,,,China,Meishan,-52.39,255.01,0.62,Liu et al. (2019)
,,,China,Meishan,-54.87,255.33,0.63,Liu et al. (2019)
,,,China,Shangsi,94.3,252.74,0.45,Liu et al. (2019)
,,,China,Shangsi,92.1,253.07,0.57,Liu et al. (2019)
,,,China,Shangsi,89.4,253.48,0.54,Liu et al. (2019)
,,,China,Shangsi,87.9,253.72,0.63,Liu et al. (2019)
,,,China,Shangsi,86.7,253.91,0.25,Liu et al. (2019)
,,,China,Shangsi,85.8,254.04,0.62,Liu et al. (2019)
,,,China,Shangsi,85.5,254.09,0.64,Liu et al. (2019)
,,,China,Shangsi,84.1,254.31,0.69,Liu et al. (2019)
,,,China,Shangsi,83.1,254.46,0.44,Liu et al. (2019)
,,,China,Shangsi,82.6,254.53,0.55,Liu et al. (2019)
,,,China,Shangsi,80.9,254.8,0.38,Liu et al. (2019)
,,,China,Shangsi,79.6,255,0.47,Liu et al. (2019)
,,,China,Shangsi,78.3,255.2,0.39,Liu et al. (2019)
,,,China,Shangsi,76.7,255.44,0.28,Liu et al. (2019)
,,,China,Shangsi,75.4,255.65,0.45,Liu et al. (2019)
,,,Canada,Buchanan Lake,-70,252.51,0.74,Liu et al. (2019)
,,,Canada,Buchanan Lake,-72,252.62,0.59,Liu et al. (2019)
,,,Canada,Buchanan Lake,-75,252.78,0.44,Liu et al. (2019)
,,,Canada,Buchanan Lake,-80,253.05,0.53,Liu et al. (2019)
,,,Canada,Buchanan Lake,-85,253.33,0.44,Liu et al. (2019)
,,,Canada,Buchanan Lake,-87,253.44,0.33,Liu et al. (2019)
,,,Canada,Buchanan Lake,-90,253.6,0.41,Liu et al. (2019)
,,,Canada,Buchanan Lake,-92,253.71,0.39,Liu et al. (2019)
,,,Canada,Buchanan Lake,-93,253.76,0.52,Liu et al. (2019)
,,,Canada,Buchanan Lake,-94,253.82,0.56,Liu et al. (2019)
,,,Canada,Buchanan Lake,-96,253.93,0.58,Liu et al. (2019)
,,,Canada,Buchanan Lake,-98,254.04,0.59,Liu et al. (2019)
,,,Canada,Buchanan Lake,-101,254.2,0.56,Liu et al. (2019)
,,,Canada,Buchanan Lake,-102,254.26,0.57,Liu et al. (2019)
,,,Canada,Buchanan Lake,-103,254.31,0.53,Liu et al. (2019)
,,,Canada,Buchanan Lake,-106,254.47,0.56,Liu et al. (2019)
,,,Australia,Hovea-3,0.15,226,1.72,Georgiev et al. (2020)
,,,Australia,Hovea-3,0.06,248,1.43,Georgiev et al. (2020)
,,,Australia,Hovea-3,0.18,238,1.64,Georgiev et al. (2020)
,,,Australia,Hovea-3,10.43,234,1.66,Georgiev et al. (2020)
,,,Australia,Hovea-3,0.41,253.5,0.764,Georgiev et al. (2020)
,,,Australia,Hovea-3,2.35,257.1,0.623,Georgiev et al. (2020)
,,,Australia,Hovea-3,0.08,252.8,0.573,Georgiev et al. (2020)
,,,Australia,Hovea-3,0.15,269,0.63,Georgiev et al. (2020)